hindex,cites_count,publications_count,degree_centrality,closeness_centrality,clustering_coefficient,betweenness_centrality,core_number,average_degree,average_clustering,diameter,density,domination_number,chromatic_number,number_connected_components,degree_assortativity,hindex_assortativity,publications_assortativity,cites_assortativity,names,surnames,nobilis,init_year,career_length,gender,category,area,discipline,subdiscipline,speciality,affiliation,country,state,federal_entity,affiliation_category
2,13,5,0.2727272727,0.5789473684,0.1666666667,0,2,1.166666667,0.428,4,0.2121212121,5,4,1,-0.4151474729509407,-0.0543933054393306,-0.1586206896551725,-0.1467576791808874,BERNABE,LOPEZ MARTIN,DR.,2017,4,m,C,V.- CIENCIAS SOCIALES,CIENCIAS ECONOMICAS,TEORIA MACROECONOMICA,TOPICOS EN PRODUCTIVIDAD AGREGADA,BANCO DE MEXICO,MÉXICO,CIUDAD DE MÉXICO,,INSTITUTO
1,2,2,0.0243902439,0.5061728395,0.25198421,0,2,1.710843373,0.713,3,0.04172788716,25,5,1,-0.4117306047653113,-0.0802683598897807,-0.1003734171884212,-0.0709606385906964,GUILLERMO,BENAVIDES PERALES,DR.,2015,6,m,2,V.- CIENCIAS SOCIALES,CIENCIAS ECONOMICAS,ECONOMETRIA,ECONOMETRIA FINANCIERA Y DE MERCADOS. DERIVADOS.,BANCO DE MEXICO,MÉXICO,CIUDAD DE MÉXICO,,INSTITUTO
3,29,10,0.06666666667,0.5172413793,0.004509713538,0,3,1.743801653,0.678,4,0.02906336088,38,8,1,-0.2258525622541584,0.0460226060993814,0.082125342808122,0.0790467264694068,ARTURO,ANTON SARABIA,DR.,2005,16,m,2,V.- CIENCIAS SOCIALES,CIENCIAS ECONOMICAS,POLITICA FISCAL Y HACIENDA PUBLICA,ECONOMIA,BANCO DE MEXICO,MÉXICO,CIUDAD DE MÉXICO,,INSTITUTO
8,225,48,0.1803278689,0.5495495495,0.009807218262,0,4,2.005434783,0.709,4,0.02191732003,66,11,1,-0.2250279690113875,0.0347759067660041,0.0989010989010988,0.1015720107976499,RAYMUNDO MIGUEL,CAMPOS VAZQUEZ,DR.,2012,9,m,3,V.- CIENCIAS SOCIALES,CIENCIAS ECONOMICAS,TEORIA ECONOMICA,ECONOMIA,BANCO DE MEXICO,MÉXICO,CIUDAD DE MÉXICO,,INSTITUTO
1,1,1,0.1666666667,0.5454545455,0.0,0,1,1.428571429,0.576,2,0.4761904762,2,4,1,-0.7006802721088448,-0.1267605633802818,-0.234567901234568,-0.2499999999999999,ARIADNA,HERNANDEZ RIVERA,DRA.,2021,0,f,C,V.- CIENCIAS SOCIALES,CIENCIAS ECONOMICAS,ECONOMIA INTERNACIONAL,ECONOMIA INTERNACIONAL,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MÉXICO,PUEBLA,FACULTAD DE ECONOMIA,INSTITUTO
5,89,27,0.05811965812,0.5149647887,0.006902106541,0,7,3.421501706,0.839,4,0.01169744173,227,25,1,-0.1447891271533673,-0.0133423489612639,0.0092542424308096,0.0111030130465484,YVES DANIEL,BUSSIERE,DR.,1983,38,m,1,V.- CIENCIAS SOCIALES,CIENCIAS ECONOMICAS,ECONOMIA SECTORIAL,DESARROLLO URBANO Y REGIONAL Y TRANSPORTE,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MÉXICO,PUEBLA,FACULTAD DE ECONOMIA,INSTITUTO
3,24,10,0.1724137931,0.5471698113,0.06299605249,0,2,1.366666667,0.604,4,0.09425287356,10,4,1,-0.3992509758413335,-0.1198786039453718,-0.0915141430948419,-0.0907881609577652,JUAN ALBERTO,VAZQUEZ MUÑOZ,DR.,2011,10,m,1,V.- CIENCIAS SOCIALES,CIENCIAS ECONOMICAS,TEORIA ECONOMICA,CRECIMIENTO ECONOMICO Y POLITICA ECONOMICA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MÉXICO,PUEBLA,FACULTAD DE ECONOMIA,INSTITUTO
1,9,5,0.1162790698,0.5308641975,0.04884499141,0,2,1.636363636,0.829,4,0.07610993658,17,4,1,-0.428922072196546,-0.0921820303383897,0.0750565005352682,0.0845627923713566,PABLO DANIEL,PALACIOS DUARTE,DR.,2015,6,m,C,V.- CIENCIAS SOCIALES,CIENCIAS ECONOMICAS,ACTIVIDADES ECONOMICAS,LAS PYMES EXPORTADORAS E INNOVADORAS,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MÉXICO,PUEBLA,FACULTAD DE ADMINISTRACION,INSTITUTO
2,15,5,0.1538461538,0.5416666667,0.0,0,2,2.0,0.688,4,0.1538461538,11,5,1,-0.3325472132657759,0.0742101396032328,0.1017110266159695,0.1021377672209025,SYLVIA BEATRIZ,GUILLERMO PEON,DRA.,2005,16,f,2,V.- CIENCIAS SOCIALES,CIENCIAS ECONOMICAS,ECONOMETRIA,ECONOMETRIA APLICADA Y DESARROLLO ECONOMICO,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MÉXICO,PUEBLA,FACULTAD DE ECONOMIA,INSTITUTO
3,35,7,0.08088235294,0.5210727969,0.03490137422,0,4,2.540145985,0.879,4,0.03735508802,59,10,1,-0.1811974475137896,0.0419338593251638,0.0633092837689331,0.0667058104752006,EMIGDIO,LARIOS GOMEZ,DR.,2016,5,m,C,V.- CIENCIAS SOCIALES,CIENCIAS ECONOMICAS,ORGANIZACION Y DIRECCION DE EMPRESAS,GESTION DE LA MERCADOTECNIA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MÉXICO,PUEBLA,FACULTAD DE ADMINISTRACION,INSTITUTO
