hindex,cites_count,publications_count,degree_centrality,closeness_centrality,clustering_coefficient,betweenness_centrality,core_number,average_degree,average_clustering,diameter,density,domination_number,chromatic_number,number_connected_components,degree_assortativity,hindex_assortativity,publications_assortativity,cites_assortativity,names,surnames,nobilis,init_year,career_length,gender,category,area,discipline,subdiscipline,speciality,affiliation,country,state,federal_entity,affiliation_category
5,136.0,22,0.01996927803,0.5050426687,0.007917126662,0,9,6.409928352,0.885,4,0.006564186741,802,79,1,-0.1233091987,0.02786322776,0.0316535318,0.029574623,JAVIER ALFONSO,ESPINOSA OVIEDO,DR.,2008,13,m,C,VII.- INGENIERÍAS,INGENIERIA,CIENCIAS COMPUTACIONALES,BASES DE DATOS Y SISTEMAS DISTRIBUIDOS,BARCELONA SUPERCOMPUTING CENTER,ESPAÑA,EXTERIOR,,INSTITUTO
4,86.0,7,0.02608695652,0.5066079295,0.01180608556,0,8,4.572668113,0.852,4,0.01988116571,184,11,1,-0.182653586,0.01744503619,0.0218588572,0.01986239743,EMMANUEL,GUILLEN GARCIA,M. EN C.,2010,11,f,C,VII.- INGENIERÍAS,INGENIERIA,INGENIERIA MECATRONICA,SISTEMAS DIGITALES  SISTEMAS EMBEBIDOS SOFTWARE,CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,MÉXICO,QUERÉTARO,,INSTITUTO
2,8.0,1,0.06603773585,0.5170731707,0.116387906,0,7,4.177570093,0.828,3,0.07882207724,47,10,1,-0.1503003046,0.0442438565,0.01535054926,0.01643684122,JULIO CESAR,SOLANO VARGAS,DR.,2018,3,m,C,VII.- INGENIERÍAS,INGENIERIA,AUTOMATIZACION Y CONTROL,ELECTRONICA CONTROL Y ROBOTICA,CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,MÉXICO,QUERÉTARO,,INSTITUTO
5,220.0,18,0.0283203125,0.5071817732,0.005453897345,0,9,4.864390244,0.867,4,0.009500762195,440,27,1,-0.1275051314,0.07875935935,0.07618681259,0.07645780705,JUANSETHI RAMSES,IBARRA MEDINA,DR.,2010,11,m,C,VII.- INGENIERÍAS,INGENIERIA,INGENIERIA MECANICA,MANUFACTURA POR LASER,CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,MÉXICO,QUERÉTARO,,INSTITUTO
1,14.0,10,0.01231113598,0.5030968468,0.004272489868,0,9,5.158836689,0.865,4,0.005773739999,744,15,1,-0.1271537652,0.0193829729,0.02021094923,0.02057293545,DANIEL,CRUZ GONZALEZ,DR.,2012,9,m,1,VII.- INGENIERÍAS,INGENIERIA,INGENIERIA NUCLEAR,MATERIALES DE INTERES NUCLEAR,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MÉXICO,PUEBLA,FACULTAD DE INGENIERIA QUIMICA,CENTRO
5,83.0,24,0.03921568627,0.51,0.004141133728,0,8,10.20699301,0.888,4,0.02859101683,294,100,1,-0.1024027168,0.1301081926,0.1395240724,0.1389921733,JOSEFINA,CASTAÑEDA CAMACHO,DRA.,2000,21,f,1,VII.- INGENIERÍAS,INGENIERIA,INGENIERIA ELECTRICA,SISTEMAS DE COMUNICACIONES MOVILES,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MÉXICO,PUEBLA,FACULTAD DE CIENCIAS DE LA ELECTRONICA,CENTRO
4,116.0,9,0.02467105263,0.506244796,0.006715614289,0,9,4.82580115,0.856,4,0.007937172945,519,13,1,-0.1193180951,0.06206507866,0.06333603636,0.06315609329,JUANA DEISY,SANTAMARIA JUAREZ,DRA.,2016,5,f,1,VII.- INGENIERÍAS,INGENIERIA,INGENIERIA QUIMICA,"POLIMEROS, MATERIALES, AMBIENTAL",BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MÉXICO,PUEBLA,FACULTAD DE INGENIERIA QUIMICA,CENTRO
0,0.0,0,0.02576112412,0.5065243179,0.003304609843,0,13,5.926498127,0.87,4,0.005551754686,938,29,1,-0.08392988273,0.1481977639,0.142046747,0.1396910051,MIGUEL ANGEL,GARCIA CASTRO,DR.,2004,17,m,C,VII.- INGENIERÍAS,INGENIERIA,INGENIERIA QUIMICA,FISICOQUIMICA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MÉXICO,PUEBLA,FACULTAD DE INGENIERIA QUIMICA,CENTRO
2,31.0,9,0.03198887344,0.5081272085,0.009549171573,0,7,4.111111111,0.874,4,0.01143563591,288,28,1,-0.1528673336,0.04656501519,0.05233504655,0.0555950124,ALDRIN,BARRETO FLORES,DR.,2003,18,m,C,VII.- INGENIERÍAS,INGENIERIA,INGENIERIA ELECTRONICA,INTELIGENCIA ARTIFICIAL Y SISTEMAS EMPOTRADOS,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MÉXICO,PUEBLA,FACULTAD DE CIENCIAS DE LA ELECTRONICA,CENTRO
3,34.0,3,0.01282051282,0.5032258065,0.07877933111,0,6,5.530164534,0.855,3,0.02025701294,237,15,1,-0.1312110119,0.04876029131,0.04535662545,0.04482365057,MARTHA PATRICIA,GONZALEZ ARAOZ,DRA.,2012,9,f,C,VII.- INGENIERÍAS,INGENIERIA,INGENIERIA AMBIENTAL,,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MÉXICO,PUEBLA,FACULTAD DE INGENIERIA,CENTRO
