disciplina,afiliacion,genero,completo,categoria_afiliacion,metrica_calculada
INGENIERIA,SIN INSTITUCIÓN,m,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE PEDIATRIA,f,True,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE REHABILITACION,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,f,False,,False
INGENIERIA,"CENTRO DE INVESTIGACIONES EN OPTICA, A.C.",m,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE GUERRERO,f,True,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE COAHUILA,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD ANAHUAC DEL NORTE,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,f,True,Categoría 3,True
CIENCIAS ECONOMICAS,CONGRESO DE LA UNION,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA METROPOLITANA,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE NUEVO LEON,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE NUEVO LEON,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,m,False,,False
CIENCIAS ECONOMICAS,GROUP ECOLE SUPERIORE DE COMMERCE DE TROYES,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE CHIAPAS,m,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,f,False,,False
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD VERACRUZANA,f,True,,False
CIENCIAS ECONOMICAS,"CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO, A.C.",m,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD DE GUANAJUATO,m,False,,False
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,m,False,,False
CIENCIAS ECONOMICAS,SIN INSTITUCIÓN,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE COAHUILA,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,True,Categoría 2,True
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,m,False,,False
CIENCIAS ECONOMICAS,"UNIVERSIDAD LA SALLE, A.C.",m,False,,False
INGENIERIA,SIN INSTITUCIÓN,m,False,,False
CIENCIAS ECONOMICAS,TECNOLOGICO NACIONAL DE MEXICO,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,"UNIVERSIDAD DE LA SALLE BAJIO, A.C.",m,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE PEDIATRIA,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD DE MONTERREY,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD DE GUADALAJARA,m,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD TECNOLOGICA DE SALAMANCA,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE LA CIUDAD DE MEXICO,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,m,False,,False
CIENCIAS DE LA SALUD,"LABORATORIOS DE BIOLOGICOS Y REACTIVOS DE MEXICO, S.A. DE C.V.",f,True,Categoría 2,True
CIENCIAS ECONOMICAS,INSTITUTO TECNOLOGICO DE SONORA,m,False,,False
INGENIERIA,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,f,False,,False
INGENIERIA,INSTITUTO MEXICANO DEL PETROLEO,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIA",f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,f,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD JUAREZ DEL ESTADO DE DURANGO,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR,f,True,Categoría 3,True
INGENIERIA,UNIVERSIDAD DE GUADALAJARA,m,False,,False
INGENIERIA,SIN INSTITUCIÓN,m,False,,False
CIENCIAS DE LA SALUD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DE NUEVO LEON,f,True,Categoría 3,True
INGENIERIA,SIN INSTITUCIÓN,m,False,,False
CIENCIAS ECONOMICAS,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,SIN INSTITUCIÓN,m,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA METROPOLITANA,m,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD DE GUADALAJARA,m,False,,False
INGENIERIA,SIN INSTITUCIÓN,m,True,Categoría 4,True
CIENCIAS ECONOMICAS,SIN INSTITUCIÓN,f,False,,False
CIENCIAS ECONOMICAS,INSTITUTO POLITECNICO NACIONAL,m,True,Categoría 1,True
CIENCIAS ECONOMICAS,UNIVERSIDAD DE SONORA,m,False,,False
INGENIERIA,SIN INSTITUCIÓN,m,False,,False
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,m,False,,False
INGENIERIA,UNIVERSITY OF IOWA,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 2,True
INGENIERIA,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,f,True,Categoría 2,True
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,m,False,,False
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,f,True,Categoría 3,True
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD DE COLIMA,m,True,Categoría 3,True
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA METROPOLITANA,m,True,Categoría 1,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA BENITO JUAREZ DE OAXACA,f,False,,False
CIENCIAS DE LA SALUD,SIN INSTITUCIÓN,m,True,Categoría 4,True
CIENCIAS DE LA SALUD,UNIVERSIDAD DE GUADALAJARA,f,False,,False
INGENIERIA,SIN INSTITUCIÓN,m,True,Categoría 4,True
INGENIERIA,FUNDACION UNIVERSIDAD DE LAS AMERICAS PUEBLA,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,m,True,Categoría 3,True
INGENIERIA,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,m,False,,False
INGENIERIA,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,m,False,,False
CIENCIAS ECONOMICAS,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,m,False,,False
CIENCIAS DE LA SALUD,INSTITUTO NACIONAL DE SALUD PUBLICA,f,False,,False
CIENCIAS ECONOMICAS,SIN INSTITUCIÓN,f,False,,False
INGENIERIA,SIN INSTITUCIÓN,f,False,,False
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 1,True
CIENCIAS ECONOMICAS,INSTITUTO POLITECNICO NACIONAL,f,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 1,True
CIENCIAS ECONOMICAS,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,m,False,,False
CIENCIAS ECONOMICAS,"CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS, A.C.",f,False,,False
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,m,True,Categoría 3,True
INGENIERIA,INSTITUTO POLITECNICO NACIONAL,f,True,Categoría 1,True
INGENIERIA,TECNOLOGICO NACIONAL DE MEXICO,f,False,,False
CIENCIAS DE LA SALUD,INSTITUTO POLITECNICO NACIONAL,f,True,Categoría 1,True
INGENIERIA,SIN INSTITUCIÓN,m,False,,False
CIENCIAS DE LA SALUD,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,f,True,Categoría 2,True
CIENCIAS ECONOMICAS,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,m,True,Categoría 1,True
CIENCIAS ECONOMICAS,UNIVERSIDAD AUTONOMA METROPOLITANA,f,True,Categoría 1,True
CIENCIAS DE LA SALUD,SIN INSTITUCIÓN,m,True,Categoría 4,True
INGENIERIA,SIN INSTITUCIÓN,m,True,Categoría 4,True
CIENCIAS ECONOMICAS,UNIVERSIDAD ANAHUAC DEL NORTE,m,True,Categoría 2,True
CIENCIAS ECONOMICAS,INSTITUTO POLITECNICO NACIONAL,f,True,Categoría 1,True
CIENCIAS ECONOMICAS,UNIVERSIDAD DE GUADALAJARA,m,False,,False
CIENCIAS DE LA SALUD,INSTITUTO MEXICANO DEL SEGURO SOCIAL,f,True,,False
CIENCIAS DE LA SALUD,HEALTHPARTNERS INSTITUTE,f,True,,False
CIENCIAS DE LA SALUD,SIN INSTITUCIÓN,m,True,Categoría 4,True
CIENCIAS DE LA SALUD,UNIVERSIDAD DE GUADALAJARA,f,True,Categoría 3,True
CIENCIAS ECONOMICAS,BANCO DE MEXICO,m,True,Categoría 2,True
CIENCIAS DE LA SALUD,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,f,False,,False
INGENIERIA,UNIVERSIDAD AUTONOMA DE SINALOA,m,True,Categoría 3,True
CIENCIAS ECONOMICAS,SIN INSTITUCIÓN,m,False,,False
