hindex,cites_count,publications_count,degree_centrality,closeness_centrality,clustering_coefficient,betweenness_centrality,core_number,average_degree,average_clustering,diameter,density,domination_number,chromatic_number,number_connected_components,degree_assortativity,hindex_assortativity,publications_assortativity,cites_assortativity,names,surnames,nobilis,init_year,career_length,gender,category,area,discipline,subdiscipline,speciality,affiliation,country,state,federal_entity,affiliation_category
16,1932,56,0.01135084428,0.5028539082,0.002859224622,0,64,19.51310914,0.869,4,0.001830498043,9625,112,1,0.02324879636,0.2157271799,0.2107176878,0.2099061519,JORGE JANS,FROMOW GUERRA,DR.,2001,20,m,1,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,INVESTIGACION EN SALUD,OFTALMOLOGIA. RETINA Y VITREO. INVESTIGACION CLINI,"ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO, I.A.P.",MÉXICO,CIUDAD DE MÉXICO,,INSTITUTO
4,54,9,0.0167844523,0.5042316258,0.02480212718,0,12,6.020300088,0.891,4,0.01063657259,505,19,1,-0.1106198915,0.07736468724,0.07748818399,0.07592560268,ISMAEL,VASQUEZ MOCTEZUMA,DR.,2011,10,m,1,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,INVESTIGACION EN SALUD,PATOLOGIA EXPERIMENTAL,INSTITUTO POLITECNICO NACIONAL,MÉXICO,CIUDAD DE MÉXICO,ESCUELA SUPERIOR DE MEDICINA,FEDERAL
11,582,42,0.01585728444,0.503996004,0.001471973533,0,21,16.06565094,0.899,4,0.003980587447,3662,100,1,0.01479415088,0.2436933254,0.2373242716,0.2362267205,JESUS,JIMENEZ ROMAN,MED.,1996,25,f,1,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,INVESTIGACION EN SALUD,OFTALMOLOGIA,"ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO, I.A.P.",MÉXICO,CIUDAD DE MÉXICO,,INSTITUTO
14,1096,36,0.01794578083,0.5045270661,0.006414851992,0,14,12.87764841,0.881,4,0.004917009701,2341,100,1,-0.04546905726,0.2002019983,0.199236845,0.1979344498,LUIS,QUIHUI COTA,DR.,1995,26,m,2,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,SALUD PUBLICA,INFECCION Y NUTRICION,"CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO, A.C.",MÉXICO,SONORA,COORDINACION DE NUTRICION,INSTITUTO
14,481,39,0.01098383807,0.5027611234,0.004913232935,0,24,17.85676184,0.898,4,0.005603879443,2893,104,1,0.003460367486,0.1711129863,0.1701878511,0.1693324271,IGNACIO,MENDEZ GOMEZ HUMARAN,DR.,1998,23,m,1,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,SALUD PUBLICA,BIOESTADISTICA,"CENTRO DE INVESTIGACION EN MATEMATICAS, A.C.",MÉXICO,AGUASCALIENTES,UNIDAD AGUASCALIENTES,INSTITUTO
13,602,38,0.01924860853,0.5048589158,0.007538297828,0,16,7.725017389,0.88,4,0.003583032184,1963,65,1,-0.05834055577,0.1288208392,0.1256656355,0.1253519737,NESTOR EMMANUEL,DIAZ MARTINEZ,DR.,2007,14,m,1,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,INVESTIGACION EN SALUD,BIOTECNOLOGIA,CENTRO DE INVESTIGACION Y ASISTENCIA EN TECNOLOGIA Y DISEÑO DEL EDO. D,MÉXICO,JALISCO,UNIDAD DE BIOTECNOLOGIA MEDICA Y FARMACEUTICA,INSTITUTO
7,290,18,0.01412905947,0.5035573962,0.00373381921,0,13,7.619439174,0.901,4,0.00321359729,2101,99,1,0.5103297171,0.2499642518,0.2380627926,0.2403258904,HUGO,ESQUIVEL SOLIS,DR.,2009,12,m,1,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,INVESTIGACION EN SALUD,BIOMEDICINA,CENTRO DE INVESTIGACION Y ASISTENCIA EN TECNOLOGIA Y DISEÑO DEL EDO. D,MÉXICO,JALISCO,UNIDAD DE BIOTECNOLOGIA INDUSTRIAL,INSTITUTO
18,1550,47,0.009272137228,0.5023288309,0.003924338261,0,22,12.34952716,0.897,4,0.002290130211,4956,100,1,-0.03451695592,0.2643200976,0.2609468109,0.2607425679,HILDA,VARGAS ROBLES,DRA.,2006,15,f,1,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,INVESTIGACION EN SALUD,ESTUDIO DE MECANISOS DE INFLAMACION,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,MÉXICO,CIUDAD DE MÉXICO,DEPTO. DE BIOMEDICINA MOLECULAR,INSTITUTO
14,571,43,0.01287886124,0.5032405828,0.001231271737,0,20,7.435805577,0.863,4,0.0014400708,4577,79,1,-0.06649264979,0.1519373928,0.1495423536,0.1498878324,RAUL,ARGUELLO GARCIA,DR.,1990,31,m,1,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,INVESTIGACION EN SALUD,PARASITOLOGIA Y MEDICINA FORENSE,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,MÉXICO,CIUDAD DE MÉXICO,DEPTO. DE GENETICA Y BIOLOGIA MOLECULAR,INSTITUTO
14,530,59,0.01418552757,0.5035717152,0.000243962795,0,21,8.65248227,0.882,4,0.001379101414,5579,103,1,-0.02796382167,0.2098161334,0.2048365107,0.2031846164,JUAN PEDRO,LUNA ARIAS,DR.,1991,30,m,2,III.- MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS DE LA SALUD,INVESTIGACION EN SALUD,BIOLOGIA MOLECULAR,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,MÉXICO,CIUDAD DE MÉXICO,DEPTO. DE BIOLOGIA CELULAR,INSTITUTO
