,Discipline,original_afiliacion,Gender,original_completo,Affiliation,Complete,Complete - Gender
0,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
1,Health Sci.,INSTITUTO NACIONAL DE PEDIATRIA,Female,True,,Incomplete,Incomplete - Female
2,Health Sci.,INSTITUTO NACIONAL DE REHABILITACION,Male,True,Category 2,Complete,Complete - Male
3,Economic Sci.,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,Female,False,,Incomplete,Incomplete - Female
4,Engineering,"CENTRO DE INVESTIGACIONES EN OPTICA, A.C.",Male,True,Category 2,Complete,Complete - Male
5,Health Sci.,UNIVERSIDAD AUTONOMA DE GUERRERO,Female,True,,Incomplete,Incomplete - Female
6,Economic Sci.,UNIVERSIDAD AUTONOMA DE COAHUILA,Female,False,,Incomplete,Incomplete - Female
7,Economic Sci.,UNIVERSIDAD ANAHUAC DEL NORTE,Male,False,,Incomplete,Incomplete - Male
8,Economic Sci.,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,Female,True,Category 3,Complete,Complete - Female
9,Economic Sci.,CONGRESO DE LA UNION,Male,False,,Incomplete,Incomplete - Male
10,Economic Sci.,UNIVERSIDAD AUTONOMA METROPOLITANA,Male,False,,Incomplete,Incomplete - Male
11,Health Sci.,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Male,False,,Incomplete,Incomplete - Male
12,Health Sci.,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Male,True,Category 3,Complete,Complete - Male
13,Economic Sci.,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,Male,False,,Incomplete,Incomplete - Male
14,Economic Sci.,GROUP ECOLE SUPERIORE DE COMMERCE DE TROYES,Male,True,Category 2,Complete,Complete - Male
15,Economic Sci.,SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,Female,True,Category 2,Complete,Complete - Female
16,Economic Sci.,UNIVERSIDAD AUTONOMA DE CHIAPAS,Male,False,,Incomplete,Incomplete - Male
17,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Female,False,,Incomplete,Incomplete - Female
18,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,False,,Incomplete,Incomplete - Male
19,Health Sci.,UNIVERSIDAD VERACRUZANA,Female,True,,Incomplete,Incomplete - Female
20,Economic Sci.,"CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO, A.C.",Male,True,Category 2,Complete,Complete - Male
21,Economic Sci.,UNIVERSIDAD DE GUANAJUATO,Male,False,,Incomplete,Incomplete - Male
22,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,False,,Incomplete,Incomplete - Male
23,Economic Sci.,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
24,Health Sci.,UNIVERSIDAD AUTONOMA DE COAHUILA,Male,False,,Incomplete,Incomplete - Male
25,Health Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Female,True,Category 2,Complete,Complete - Female
26,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,True,Category 3,Complete,Complete - Male
27,Health Sci.,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Male,False,,Incomplete,Incomplete - Male
28,Economic Sci.,"UNIVERSIDAD LA SALLE, A.C.",Male,False,,Incomplete,Incomplete - Male
29,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
30,Economic Sci.,TECNOLOGICO NACIONAL DE MEXICO,Male,True,Category 3,Complete,Complete - Male
31,Economic Sci.,"UNIVERSIDAD DE LA SALLE BAJIO, A.C.",Male,False,,Incomplete,Incomplete - Male
32,Health Sci.,INSTITUTO NACIONAL DE PEDIATRIA,Male,True,Category 2,Complete,Complete - Male
33,Health Sci.,UNIVERSIDAD DE MONTERREY,Male,False,,Incomplete,Incomplete - Male
34,Health Sci.,UNIVERSIDAD DE GUADALAJARA,Male,True,Category 3,Complete,Complete - Male
35,Engineering,UNIVERSIDAD TECNOLOGICA DE SALAMANCA,Male,True,Category 3,Complete,Complete - Male
36,Health Sci.,UNIVERSIDAD AUTONOMA DE LA CIUDAD DE MEXICO,Female,False,,Incomplete,Incomplete - Female
37,Economic Sci.,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,Male,False,,Incomplete,Incomplete - Male
38,Health Sci.,"LABORATORIOS DE BIOLOGICOS Y REACTIVOS DE MEXICO, S.A. DE C.V.",Female,True,Category 2,Complete,Complete - Female
39,Economic Sci.,INSTITUTO TECNOLOGICO DE SONORA,Male,False,,Incomplete,Incomplete - Male
40,Engineering,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Female,False,,Incomplete,Incomplete - Female
41,Engineering,INSTITUTO MEXICANO DEL PETROLEO,Male,True,Category 2,Complete,Complete - Male
42,Economic Sci.,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIA",Female,False,,Incomplete,Incomplete - Female
43,Economic Sci.,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,Female,False,,Incomplete,Incomplete - Female
44,Health Sci.,UNIVERSIDAD JUAREZ DEL ESTADO DE DURANGO,Male,True,Category 3,Complete,Complete - Male
45,Economic Sci.,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR,Female,True,Category 3,Complete,Complete - Female
46,Engineering,UNIVERSIDAD DE GUADALAJARA,Male,False,,Incomplete,Incomplete - Male
47,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
48,Health Sci.,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Female,True,Category 2,Complete,Complete - Female
49,Economic Sci.,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Female,True,Category 3,Complete,Complete - Female
50,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
51,Economic Sci.,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Female,True,Category 2,Complete,Complete - Female
52,Economic Sci.,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
53,Health Sci.,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,Female,True,Category 2,Complete,Complete - Female
54,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,True,Category 2,Complete,Complete - Male
55,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Female,False,,Incomplete,Incomplete - Female
56,Economic Sci.,UNIVERSIDAD AUTONOMA METROPOLITANA,Male,False,,Incomplete,Incomplete - Male
57,Economic Sci.,UNIVERSIDAD DE GUADALAJARA,Male,False,,Incomplete,Incomplete - Male
58,Engineering,SIN INSTITUCIÓN,Male,True,Category 4,Complete,Complete - Male
59,Economic Sci.,SIN INSTITUCIÓN,Female,False,,Incomplete,Incomplete - Female
60,Economic Sci.,INSTITUTO POLITECNICO NACIONAL,Male,True,Category 1,Complete,Complete - Male
61,Economic Sci.,UNIVERSIDAD DE SONORA,Male,False,,Incomplete,Incomplete - Male
62,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
63,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,False,,Incomplete,Incomplete - Male
64,Engineering,UNIVERSITY OF IOWA,Female,True,Category 2,Complete,Complete - Female
65,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,True,Category 2,Complete,Complete - Male
66,Engineering,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,Male,True,Category 3,Complete,Complete - Male
67,Health Sci.,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Female,True,Category 2,Complete,Complete - Female
68,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,False,,Incomplete,Incomplete - Male
69,Health Sci.,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,Female,True,Category 3,Complete,Complete - Female
70,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Male,True,Category 2,Complete,Complete - Male
71,Economic Sci.,UNIVERSIDAD DE COLIMA,Male,True,Category 3,Complete,Complete - Male
72,Health Sci.,UNIVERSIDAD AUTONOMA METROPOLITANA,Male,True,Category 1,Complete,Complete - Male
73,Economic Sci.,UNIVERSIDAD AUTONOMA BENITO JUAREZ DE OAXACA,Female,False,,Incomplete,Incomplete - Female
74,Health Sci.,SIN INSTITUCIÓN,Male,True,Category 4,Complete,Complete - Male
75,Health Sci.,UNIVERSIDAD DE GUADALAJARA,Female,False,,Incomplete,Incomplete - Female
76,Engineering,SIN INSTITUCIÓN,Male,True,Category 4,Complete,Complete - Male
77,Engineering,FUNDACION UNIVERSIDAD DE LAS AMERICAS PUEBLA,Male,True,Category 2,Complete,Complete - Male
78,Economic Sci.,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,Male,True,Category 3,Complete,Complete - Male
79,Engineering,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Male,False,,Incomplete,Incomplete - Male
80,Engineering,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Male,False,,Incomplete,Incomplete - Male
81,Economic Sci.,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Male,False,,Incomplete,Incomplete - Male
82,Health Sci.,INSTITUTO NACIONAL DE SALUD PUBLICA,Female,False,,Incomplete,Incomplete - Female
83,Economic Sci.,SIN INSTITUCIÓN,Female,False,,Incomplete,Incomplete - Female
84,Engineering,SIN INSTITUCIÓN,Female,False,,Incomplete,Incomplete - Female
85,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,True,Category 1,Complete,Complete - Male
86,Economic Sci.,INSTITUTO POLITECNICO NACIONAL,Female,True,Category 2,Complete,Complete - Female
87,Health Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,True,Category 1,Complete,Complete - Male
88,Economic Sci.,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,Male,False,,Incomplete,Incomplete - Male
89,Economic Sci.,"CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS, A.C.",Female,False,,Incomplete,Incomplete - Female
90,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Male,True,Category 3,Complete,Complete - Male
91,Engineering,INSTITUTO POLITECNICO NACIONAL,Female,True,Category 1,Complete,Complete - Female
92,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Female,False,,Incomplete,Incomplete - Female
93,Health Sci.,INSTITUTO POLITECNICO NACIONAL,Female,True,Category 1,Complete,Complete - Female
94,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
95,Health Sci.,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Female,True,Category 2,Complete,Complete - Female
96,Economic Sci.,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,True,Category 1,Complete,Complete - Male
97,Economic Sci.,UNIVERSIDAD AUTONOMA METROPOLITANA,Female,True,Category 1,Complete,Complete - Female
98,Health Sci.,SIN INSTITUCIÓN,Male,True,Category 4,Complete,Complete - Male
99,Engineering,SIN INSTITUCIÓN,Male,True,Category 4,Complete,Complete - Male
100,Economic Sci.,UNIVERSIDAD ANAHUAC DEL NORTE,Male,True,Category 2,Complete,Complete - Male
101,Economic Sci.,INSTITUTO POLITECNICO NACIONAL,Female,True,Category 1,Complete,Complete - Female
102,Economic Sci.,UNIVERSIDAD DE GUADALAJARA,Male,False,,Incomplete,Incomplete - Male
103,Health Sci.,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Female,True,,Incomplete,Incomplete - Female
104,Health Sci.,HEALTHPARTNERS INSTITUTE,Female,True,,Incomplete,Incomplete - Female
105,Health Sci.,SIN INSTITUCIÓN,Male,True,Category 4,Complete,Complete - Male
106,Health Sci.,UNIVERSIDAD DE GUADALAJARA,Female,True,Category 3,Complete,Complete - Female
107,Economic Sci.,BANCO DE MEXICO,Male,True,Category 2,Complete,Complete - Male
108,Health Sci.,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,Female,False,,Incomplete,Incomplete - Female
109,Engineering,UNIVERSIDAD AUTONOMA DE SINALOA,Male,True,Category 3,Complete,Complete - Male
110,Economic Sci.,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
111,Economic Sci.,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,Female,True,Category 3,Complete,Complete - Female
112,Health Sci.,INSTITUTO POLITECNICO NACIONAL,Female,True,Category 1,Complete,Complete - Female
113,Health Sci.,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,Female,True,Category 3,Complete,Complete - Female
114,Engineering,UNIVERSIDAD DE GUANAJUATO,Male,True,Category 3,Complete,Complete - Male
115,Engineering,SIN INSTITUCIÓN,Male,False,,Incomplete,Incomplete - Male
116,Engineering,SIN INSTITUCIÓN,Male,True,Category 4,Complete,Complete - Male
117,Economic Sci.,UNIVERSIDAD AUTONOMA DE CHIAPAS,Male,True,Category 3,Complete,Complete - Male
118,Economic Sci.,"CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS, A.C.",Male,True,Category 2,Complete,Complete - Male
119,Economic Sci.,UNIVERSIDAD AUTONOMA DE COAHUILA,Male,False,,Incomplete,Incomplete - Male
120,Engineering,TECNOLOGICO NACIONAL DE MEXICO,Female,False,,Incomplete,Incomplete - Female
121,Economic Sci.,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR,Male,True,Category 3,Complete,Complete - Male
122,Economic Sci.,UNIVERSIDAD AUTONOMA METROPOLITANA,Male,False,,Incomplete,Incomplete - Male
123,Engineering,UNIVERSIDAD AUTONOMA DE QUERETARO,Male,False,,Incomplete,Incomplete - Male
124,Engineering,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Male,True,Category 2,Complete,Complete - Male
125,Health Sci.,SIN INSTITUCIÓN,Female,True,Category 4,Complete,Complete - Female
126,Engineering,UNIVERSIDAD TECNOLOGICA EMILIANO ZAPATA DEL ESTADO DE MORELOS,Male,False,,Incomplete,Incomplete - Male
